ID,splitsample,right_VT,split_trials,split_video,FS1a,epistemic,epistemic_1,epistemic_4,epistemic_5,epistemic_6,epistemic_9,epistemic_10,FS2_1,FS2_2,FS2_3,FS2_4,FS2_5,FS2_6,FS2_7,FS2_8,FS2_9,FS2_10,FS2_11,FS2_12,FS2_13,FS2_14,brexdentity,NFC,NFC_1,NFC_2,NFC_3,NFC_4,NFC_5,NFC_6,NFC_7,NFC_8,CRT1,CRT2,CRT3,AOT17,AOT17_1,AOT17_2,AOT17_3,AOT17_4,AOT17_5,AOT17_6,AOT17_7,AOT17_8,AOT17_9,AOT17_10,AOT17_11,AOT17_12,AOT17_13,AOT17_14,AOT17_15,AOT17_16,AOT17_17,remain_identity_strength,remain_identity_strength_1,remain_identity_strength_4,remain_identity_strength_5,leave_identity_strength,leave_identity_strength_1,leave_identity_strength_4,leave_identity_strength_5,partisanvideo,controlvideo,partisan_brex_thermometer,t1_1,t1_2,scapegoating_leave_reaction,scapegoating_leave_sharing,scapegoating_leave_sharing_1,scapegoating_leave_click,scapegoating_leave_click_1,scapegoating_remain_reaction,scapegoating_remain_sharing,scapegoating_remain_sharing_1,scapegoating_remain_click,scapegoating_remain_click_1,scape_control_leave_reaction,scape_control_leave_sharing,scape_control_leave_sharing_1,scape_control_leave_click,scape_control_leave_click_1,scape_control_remain_reaction,scape_control_remain_sharing,scape_control_remain_sharing_1,scape_control_remain_click,scape_control_remain_click_1,adhominem_leave_reaction,adhominem_leave_sharing,adhominem_leave_sharing_1,adhominem_leave_click,adhominem_leave_click_1,adhominem_remain_reaction,adhominem_remain_sharing,adhominem_remain_sharing_1,adhominem_remain_click,adhominem_remain_click_1,adhom_control_leave_reaction,adhom_control_leave_sharing,adhom_control_leave_sharing_1,adhom_control_leave_click,adhom_control_leave_click_1,adhom_control_remain_reaction,adhom_control_remain_sharing,adhom_control_remain_sharing_1,adhom_control_remain_click,adhom_control_remain_click_1,emotional_leave_reaction,emotional_leave_sharing,emotional_leave_sharing_1,emotional_leave_click,emotional_leave_click_1,emotional_remain_reaction,emotional_remain_sharing,emotional_remain_sharing_1,emotional_remain_click,emotional_remain_click_1,emotional_control_leave_reaction,emotional_control_leave_sharing,emotional_control_leave_sharing_1,emotional_control_leave_click,emotional_control_leave_click_1,emotional_control_remain_reaction,emotional_control_remain_sharing,emotional_control_remain_sharing_1,emotional_control_remain_click,emotional_control_remain_click_1,age,profile_gender
160,6,1,3,2,3,1,3,3,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,4,3,5,4,3,3,4,0.1,-7,-7,1,97,97,97,97,1,97,97,97,97,97,97,4,3,3,5,4,97,9,999,999,999,1,3,3,3,-9,1,1,3,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,1,1,4,1,5,99,9,999,9,999,8,1,1,1,3,99,9,999,9,999,53,1
161,2,1,2,1,5,1,4,3,4,3,4,3,2,2,1,2,2,1,1,1,2,2,2,2,2,2,1,1,2,2,2,4,5,2,2,6,0.1,100,3,1,4,5,97,3,5,3,2,4,4,4,4,5,4,4,4,97,6,9,999,999,999,1,3,3,3,1,-9,1,51,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,64,2
162,1,1,3,2,5,1,3,3,4,4,5,5,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,3,1,5,5,2,1,6,0.1,5,47,1,2,4,2,2,4,97,1,2,2,5,5,5,5,4,4,97,4,9,999,999,999,1,2,2,2,-9,1,1,46,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,3,1,2,1,2,99,9,999,9,999,3,1,2,1,2,99,9,999,9,999,60,1
163,2,1,2,1,1,1,3,4,3,3,5,5,1,1,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1,5,4,5,2,1,6,10,100,24,1,3,3,3,4,1,4,3,3,4,4,4,4,6,4,4,4,4,9,999,999,999,1,3,4,3,1,-9,1,29,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,1,1,8,1,6,99,9,999,9,999,1,1,8,1,6,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,57,1
164,6,1,1,1,1,1,4,4,2,1,5,5,1,1,1,2,2,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,7,10,1,47,1,3,6,1,2,1,2,1,4,5,5,4,6,6,4,4,2,3,9,999,999,999,1,5,5,3,-9,-9,-9,999,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,61,1
165,3,1,2,2,3,1,4,4,5,4,5,4,2,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,3,3,2,1,7,0.05,5,47,1,5,3,4,5,3,5,2,2,4,5,5,4,2,2,3,5,5,9,999,999,999,1,4,4,4,-9,1,1,1,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,2,1,4,1,4,99,9,999,9,999,2,1,4,1,5,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,77,1
166,5,1,2,1,2,1,5,4,5,4,4,5,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,5,3,2,2,2,2,2,6,10,100,24,1,4,4,2,4,2,2,5,5,5,4,4,4,4,5,4,4,6,9,999,999,999,1,2,4,4,1,-9,1,19,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,1,1,8,1,9,99,9,999,9,999,1,1,8,1,9,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,43,1
167,1,1,3,2,5,1,4,2,1,1,5,5,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,1,1,3,1,1,1,7,0.1,5,47,1,1,2,1,3,3,4,1,4,6,4,5,5,6,6,5,2,5,9,999,999,999,1,1,2,3,-9,1,1,50,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,61,1
168,2,1,1,1,3,1,4,4,2,1,4,4,1,2,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,3,1,4,1,5,0.05,100,47,1,2,3,3,3,6,3,1,3,3,6,5,4,6,3,6,4,4,9,999,999,999,1,2,3,3,1,-9,1,37,999,8,1,2,1,8,99,9,999,9,999,8,1,3,1,9,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,32,1
169,3,1,3,1,5,1,4,3,3,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,3,4,2,1,6,0.1,100,24,1,4,4,97,4,3,3,3,3,4,4,4,4,4,4,4,3,4,9,999,999,999,1,2,2,3,1,-9,1,997,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,61,2
170,1,1,3,2,1,1,3,3,1,1,5,5,1,1,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,4,4,2,2,7,0.05,5,24,1,2,5,1,3,1,4,2,3,3,5,4,5,6,4,2,3,5,9,999,999,999,1,3,3,3,-9,1,1,40,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,3,1,3,1,8,99,9,999,9,999,3,1,3,1,8,99,9,999,9,999,69,1
171,6,1,2,2,3,1,3,4,3,3,4,4,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,1,1,6,0.5,5,47,1,3,97,97,1,6,1,97,5,97,4,4,2,4,4,1,3,6,9,999,999,999,1,5,5,5,-9,1,1,0,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,1,1,5,1,10,99,9,999,9,999,1,1,5,1,10,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,73,1
172,2,1,2,2,1,1,5,4,3,2,5,5,2,1,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,7,0.05,5,47,1,2,5,1,2,3,1,1,97,97,6,5,6,6,4,3,2,5,9,999,999,999,1,3,3,3,-9,1,1,2,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,2,1,7,99,9,999,9,999,8,1,3,1,6,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,63,1
173,4,1,2,2,5,1,3,4,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,6,0.1,5,47,1,1,97,1,2,1,5,1,4,4,5,5,5,6,5,1,2,5,9,999,999,999,1,3,3,3,-9,1,1,3,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,1,1,7,1,6,99,9,999,9,999,5,1,7,1,7,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,36,1
174,6,1,3,1,5,1,4,4,2,3,4,4,2,2,2,2,1,2,2,1,2,2,1,2,2,2,1,1,2,4,6,3,5,4,2,6,1.05,35,47,1,2,5,2,2,3,1,2,5,2,5,5,6,6,4,2,4,4,9,999,999,999,1,4,2,3,1,-9,1,52,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,2,1,1,99,9,999,9,999,8,1,2,1,2,99,9,999,9,999,59,2
175,2,1,2,2,1,1,5,5,5,5,5,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,4,4,4,6,4,4,4,5,0.1,1,47,1,4,4,4,2,2,1,2,4,4,97,4,4,4,5,6,6,5,9,999,999,999,1,4,4,4,-9,1,1,5,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,1,1,8,1,8,99,9,999,9,999,1,1,8,1,8,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,59,1
176,2,1,2,1,5,1,3,2,4,3,5,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,6,3,1,1,7,0.1,100,12,1,2,2,1,4,1,1,2,3,5,4,6,5,6,6,4,1,5,9,999,999,999,1,2,2,2,1,-9,1,20,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,3,1,4,99,9,999,9,999,8,1,6,1,5,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,59,2
177,5,1,1,2,5,1,4,4,4,4,4,5,2,1,1,1,2,2,1,2,2,1,2,2,2,2,1,1,2,5,5,3,7,3,2,6,0.1,5,24,1,4,4,5,5,3,3,3,3,5,5,6,4,5,3,5,5,3,9,999,999,999,1,4,4,4,-9,1,1,24,999,3,1,5,1,8,99,9,999,9,999,3,1,9,1,8,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,48,1
178,6,1,1,1,5,1,2,2,4,5,5,4,2,1,1,2,1,2,1,1,2,2,2,2,2,2,1,1,1,5,3,4,5,2,2,7,0.1,100,24,1,1,2,1,1,5,1,1,1,5,4,6,5,6,6,1,2,4,9,999,999,999,1,5,3,5,1,-9,1,99,999,3,1,2,1,1,99,9,999,9,999,3,1,4,1,2,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,66,1
179,1,1,1,2,2,1,4,4,4,4,5,3,2,1,1,2,1,2,2,2,1,1,1,1,2,2,1,1,1,6,3,5,6,5,1,7,0.1,500,24,1,3,6,5,5,1,5,2,3,2,5,5,5,5,4,5,6,5,9,999,999,999,1,4,4,4,-9,1,1,17,999,8,1,1,1,1,99,9,999,9,999,8,1,4,1,3,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,24,2
180,6,1,1,2,3,1,3,4,2,3,4,4,1,2,2,2,1,2,1,2,2,1,2,2,2,2,1,1,1,2,2,5,4,3,1,5,0.1,100,24,1,3,4,4,3,2,2,1,4,1,6,4,6,4,4,5,3,5,9,999,999,999,1,3,3,3,-9,1,1,45,999,5,1,4,1,5,99,9,999,9,999,5,1,5,1,5,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,31,1
181,5,1,2,2,3,1,1,5,3,4,2,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,5,4,4,6,7,3,4,6,-7,-7,-7,1,4,4,2,3,2,4,1,4,3,4,5,1,3,2,4,3,2,9,999,999,999,1,2,2,4,-9,1,1,51,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,3,1,7,1,6,99,9,999,9,999,3,1,10,1,7,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,49,2
182,3,1,3,1,5,1,3,4,3,1,5,5,2,2,1,2,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,4,1,1,7,0,5,48,1,3,97,3,2,1,1,1,5,1,6,6,6,6,6,2,4,3,9,999,999,999,1,3,4,4,1,-9,1,52,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,54,2
183,1,1,3,2,1,1,1,2,5,1,5,5,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,5,4,1,1,7,0.1,5,-7,1,6,97,1,1,1,1,1,6,6,6,6,4,6,4,6,1,6,9,999,999,999,1,3,3,2,-9,1,1,77,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,5,99,9,999,9,999,3,1,1,1,8,99,9,999,9,999,70,1
184,6,1,3,1,5,1,3,3,4,4,5,5,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,6,0.1,5,24,1,97,97,4,4,97,97,3,97,3,4,4,5,5,5,4,2,2,9,999,999,999,1,3,3,3,1,-9,1,56,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,5,99,9,999,9,999,8,1,1,1,8,99,9,999,9,999,54,2
185,4,1,3,2,1,1,4,3,3,4,5,5,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,4,4,1,1,7,0.1,5,24,1,4,3,3,4,1,1,2,5,4,4,4,6,6,6,4,3,4,9,999,999,999,1,5,4,4,-9,1,1,31,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,6,1,5,99,9,999,9,999,8,1,7,1,5,99,9,999,9,999,72,1
186,3,1,2,2,3,1,2,2,3,4,4,2,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,1,6,5,3,6,5,2,4,6,-7,-7,-7,1,4,4,5,2,3,1,1,3,3,2,6,4,4,5,3,5,5,9,999,999,999,1,4,3,4,-9,1,1,60,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,2,1,7,1,5,99,9,999,9,999,4,1,3,1,6,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,23,2
187,5,1,3,1,5,1,5,4,4,3,2,4,2,2,1,2,1,2,2,2,1,2,1,2,2,2,1,1,4,5,4,3,3,4,6,4,0.1,100,24,1,4,4,2,97,4,4,2,97,97,5,97,5,5,4,2,3,4,9,999,999,999,1,4,4,2,1,-9,1,23,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,1,1,4,1,5,99,9,999,9,999,57,2
188,3,1,3,2,1,1,4,4,4,4,4,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,1,2,2,2,2,6,0.1,-7,-7,1,4,4,3,3,4,1,4,5,4,4,4,2,3,4,4,4,4,9,999,999,999,1,5,5,5,-9,1,1,1,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,1,1,1,1,1,99,9,999,9,999,8,1,3,1,1,99,9,999,9,999,63,1
189,2,1,3,2,4,1,3,3,2,4,4,4,1,1,1,2,2,1,1,2,2,1,2,2,2,2,1,1,5,3,3,2,4,3,4,6,-7,-7,-7,1,4,5,3,5,4,4,5,4,5,4,5,3,5,5,4,3,4,9,999,999,999,1,4,4,5,-9,1,1,997,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,1,1,7,1,2,99,9,999,9,999,1,1,7,1,7,99,9,999,9,999,72,1
190,6,1,3,2,1,1,1,4,4,4,5,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,3,1,1,6,0.1,5,47,1,1,1,1,1,2,1,1,1,1,6,6,5,5,4,2,1,4,9,999,999,999,1,4,4,4,-9,1,1,24,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,3,1,5,1,10,99,9,999,9,999,3,1,5,1,10,99,9,999,9,999,54,2
191,3,1,3,2,4,1,3,4,5,4,5,5,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,4,7,7,7,7,7,4,7,0.1,5,12,1,6,3,3,5,1,1,1,3,3,4,5,5,6,3,97,4,6,9,999,999,999,1,3,3,3,-9,1,1,4,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,49,1
192,2,1,1,2,3,1,4,3,3,3,3,3,2,2,1,2,1,2,1,1,1,2,1,2,2,2,1,1,4,4,4,4,4,4,4,4,10,-7,-7,1,4,3,3,3,4,3,4,4,97,4,4,4,3,4,3,3,4,9,999,999,999,1,3,3,3,-9,1,1,24,999,8,1,5,1,6,99,9,999,9,999,8,1,6,1,6,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,46,2
193,2,1,2,1,1,1,4,4,4,5,4,4,2,1,1,2,1,1,2,1,1,2,1,2,2,2,1,1,3,3,4,4,3,3,3,7,0.1,100,1,1,3,3,3,3,97,3,3,5,4,4,4,5,4,3,5,3,6,9,999,999,999,1,3,3,3,1,-9,1,48,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,8,1,7,99,9,999,9,999,8,1,6,1,7,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,58,1
194,2,1,2,1,3,1,5,3,4,4,5,5,2,1,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,4,1,4,5,1,1,6,0.5,5,24,1,4,6,4,4,1,1,2,1,1,5,6,4,4,4,5,3,4,9,999,999,999,1,3,5,4,1,-9,1,25,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,1,1,6,1,9,99,9,999,9,999,3,1,6,1,9,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,53,2
195,3,1,3,1,5,1,4,3,1,1,5,5,1,2,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,3,5,3,2,5,0.1,5,1,1,3,97,97,2,3,97,2,3,97,3,6,4,6,5,3,4,6,9,999,999,999,1,2,2,2,1,-9,1,49,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,59,2
196,3,1,3,2,3,1,1,4,4,5,4,5,2,1,1,2,2,1,1,1,2,1,2,2,2,2,1,1,2,1,4,7,7,2,4,7,0.1,5,47,1,4,4,2,5,4,1,1,4,3,4,5,3,6,4,6,1,6,9,999,999,999,1,3,3,3,-9,1,1,97,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,1,1,10,1,10,99,9,999,9,999,8,1,7,1,8,99,9,999,9,999,48,1
197,3,1,1,2,5,1,3,4,1,1,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,7,0.1,100,5.5,1,1,3,97,1,1,1,1,1,1,5,6,6,6,97,2,1,1,9,999,999,999,1,3,3,4,-9,1,1,997,999,8,1,1,1,1,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,79,1
198,6,1,1,1,1,1,3,3,4,3,5,5,1,2,1,2,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,1,1,1,7,10,1,24,1,97,6,97,97,1,6,1,97,97,6,97,4,6,97,1,1,1,9,999,999,999,1,4,4,4,1,-9,1,75,999,3,1,1,1,1,99,9,999,9,999,2,1,10,1,10,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,65,2
199,2,1,3,1,5,1,4,4,5,3,4,3,2,2,1,2,1,1,2,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,7,0.1,100,24,1,3,5,1,1,1,1,1,6,3,5,5,6,5,3,6,5,5,9,999,999,999,1,3,3,3,1,-9,1,49,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,48,2
200,4,1,3,1,5,1,4,4,4,5,4,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,2,4,2,2,7,0.05,100,47,1,3,1,5,5,4,1,2,3,1,3,5,5,6,4,3,3,6,9,999,999,999,1,3,3,3,1,-9,1,100,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,50,2
201,1,1,3,1,2,1,3,3,4,4,5,3,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,4,2,2,4,1,4,1,4,0.05,-7,-7,1,97,3,97,97,1,1,97,1,97,97,97,97,97,97,97,1,97,9,999,999,999,1,3,3,3,1,-9,1,0,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,42,1
202,5,1,2,2,5,1,4,3,5,3,5,5,1,1,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,3,4,5,4,3,7,0.1,100,24,1,3,97,4,4,3,1,1,2,2,6,5,5,5,6,2,97,5,9,999,999,999,1,4,4,3,-9,1,1,91,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,1,1,8,1,8,99,9,999,9,999,1,1,9,1,9,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,75,2
203,3,1,1,1,5,1,4,4,2,2,3,3,2,2,1,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,4,5,2,1,7,0.1,50,24,1,97,97,2,4,3,2,1,3,3,97,4,4,5,4,4,6,3,9,999,999,999,1,4,4,4,1,-9,1,49,999,8,1,1,1,5,99,9,999,9,999,5,1,1,1,8,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,58,2
204,6,1,2,1,1,1,1,3,5,1,5,4,1,1,1,2,2,2,1,2,2,1,2,2,2,2,1,1,1,1,1,1,7,4,1,7,-7,5,47,1,2,97,97,6,2,1,1,1,3,6,4,5,6,6,6,4,4,9,999,999,999,1,3,4,3,1,-9,1,0,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,3,1,1,99,9,999,9,999,8,1,5,1,1,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,54,1
205,1,1,2,1,1,1,4,4,4,4,5,4,1,2,2,1,2,2,1,1,2,2,2,2,2,2,1,1,5,7,7,7,7,4,1,7,0.1,5,47,1,2,5,2,4,4,5,1,4,5,3,6,5,6,6,6,5,5,9,999,999,999,1,4,4,4,1,-9,1,38,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,7,1,3,1,9,99,9,999,9,999,1,1,9,1,7,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,55,1
206,2,1,2,1,3,1,5,4,4,3,3,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,5,4,4,2,6,0.1,-7,-7,1,97,4,97,3,97,97,2,5,97,5,97,5,5,4,4,2,5,9,999,999,999,1,3,2,3,1,-9,1,50,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,8,1,1,1,1,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,99,9,999,9,999,48,2
